source_user,target_user,interaction_type,weight,timestamp
bot_051,bot_014,mention,2,2025-05-11 14:36:53.696788
bot_020,bot_074,mention,2,2025-05-19 14:36:53.696986
bot_023,bot_002,retweet,1,2025-05-22 14:36:53.697083
bot_029,bot_037,retweet,2,2025-05-12 14:36:53.697174
bot_020,bot_032,retweet,2,2025-05-11 14:36:53.697262
bot_048,bot_058,mention,2,2025-05-12 14:36:53.697349
bot_059,bot_079,mention,2,2025-05-10 14:36:53.697438
bot_046,bot_061,mention,2,2025-05-17 14:36:53.697523
bot_063,bot_002,follow,1,2025-05-17 14:36:53.697609
bot_020,bot_072,mention,2,2025-05-20 14:36:53.697700
bot_059,bot_013,retweet,2,2025-05-15 14:36:53.697785
bot_052,bot_001,mention,2,2025-05-17 14:36:53.697872
bot_043,bot_007,mention,1,2025-05-10 14:36:53.697959
bot_035,bot_049,retweet,2,2025-05-18 14:36:53.698046
bot_053,bot_003,retweet,1,2025-05-22 14:36:53.698132
bot_043,bot_033,retweet,2,2025-05-20 14:36:53.698216
bot_013,bot_047,mention,2,2025-05-10 14:36:53.698300
bot_061,bot_039,follow,2,2025-05-11 14:36:53.698386
bot_052,bot_023,retweet,1,2025-05-12 14:36:53.698473
bot_059,bot_040,follow,1,2025-05-11 14:36:53.698557
bot_064,bot_070,follow,2,2025-05-23 14:36:53.698642
bot_007,bot_062,mention,1,2025-05-23 14:36:53.698742
bot_007,bot_034,mention,1,2025-05-13 14:36:53.698838
bot_004,bot_040,mention,1,2025-05-16 14:36:53.698927
bot_011,bot_033,follow,2,2025-05-17 14:36:53.699016
bot_022,bot_061,follow,1,2025-05-12 14:36:53.699102
bot_034,bot_064,mention,1,2025-05-10 14:36:53.699189
bot_002,bot_000,follow,2,2025-05-17 14:36:53.699275
bot_013,bot_026,follow,1,2025-05-14 14:36:53.699359
bot_041,bot_076,mention,1,2025-05-17 14:36:53.699446
bot_051,bot_003,retweet,1,2025-05-17 14:36:53.699534
bot_014,bot_042,follow,2,2025-05-11 14:36:53.699622
bot_031,bot_070,mention,1,2025-05-18 14:36:53.699707
bot_027,bot_065,retweet,1,2025-05-10 14:36:53.699794
bot_056,bot_005,retweet,2,2025-05-13 14:36:53.699890
bot_061,bot_000,follow,1,2025-05-10 14:36:53.699978
bot_076,bot_002,mention,2,2025-05-16 14:36:53.700064
bot_026,bot_008,retweet,1,2025-05-23 14:36:53.700149
bot_050,bot_043,mention,1,2025-05-18 14:36:53.700235
bot_031,bot_051,follow,2,2025-05-23 14:36:53.700408
bot_057,bot_051,retweet,1,2025-05-22 14:36:53.700584
bot_002,bot_055,follow,1,2025-05-23 14:36:53.700727
bot_053,bot_000,mention,2,2025-05-22 14:36:53.700938
bot_052,bot_043,retweet,2,2025-05-18 14:36:53.701065
bot_031,bot_067,mention,1,2025-05-16 14:36:53.701198
bot_016,bot_037,follow,2,2025-05-22 14:36:53.701332
bot_069,bot_010,mention,2,2025-05-23 14:36:53.701466
bot_072,bot_058,retweet,2,2025-05-11 14:36:53.701596
bot_002,bot_019,mention,2,2025-05-21 14:36:53.701717
bot_066,bot_018,mention,2,2025-05-15 14:36:53.701841
bot_032,bot_039,mention,2,2025-05-16 14:36:53.701967
bot_000,bot_010,follow,1,2025-05-22 14:36:53.702090
bot_022,bot_030,retweet,2,2025-05-21 14:36:53.702214
bot_006,bot_015,retweet,2,2025-05-15 14:36:53.702335
bot_059,bot_001,follow,2,2025-05-10 14:36:53.702457
bot_011,bot_068,follow,2,2025-05-13 14:36:53.702579
bot_008,bot_018,mention,2,2025-05-16 14:36:53.702704
bot_053,bot_032,mention,1,2025-05-16 14:36:53.702827
bot_035,bot_037,retweet,1,2025-05-10 14:36:53.702953
bot_024,bot_017,retweet,2,2025-05-22 14:36:53.703079
bot_053,bot_034,follow,1,2025-05-20 14:36:53.703205
bot_032,bot_067,follow,2,2025-05-19 14:36:53.703331
bot_047,bot_019,mention,1,2025-05-23 14:36:53.703462
bot_032,bot_047,mention,1,2025-05-18 14:36:53.703588
bot_021,bot_029,retweet,2,2025-05-11 14:36:53.703719
bot_050,bot_053,mention,1,2025-05-22 14:36:53.703895
bot_020,bot_029,follow,2,2025-05-23 14:36:53.704043
bot_068,bot_060,mention,2,2025-05-21 14:36:53.704190
bot_063,bot_048,follow,2,2025-05-12 14:36:53.704332
bot_029,bot_045,follow,2,2025-05-21 14:36:53.704812
bot_036,bot_023,follow,1,2025-05-10 14:36:53.704976
bot_052,bot_059,follow,2,2025-05-11 14:36:53.705072
bot_031,bot_032,mention,2,2025-05-22 14:36:53.705170
bot_024,bot_053,retweet,1,2025-05-16 14:36:53.705257
bot_045,bot_023,retweet,2,2025-05-18 14:36:53.705348
bot_022,bot_065,mention,1,2025-05-14 14:36:53.705435
bot_001,bot_016,follow,1,2025-05-13 14:36:53.705520
bot_047,bot_038,follow,2,2025-05-17 14:36:53.705607
bot_025,bot_049,follow,2,2025-05-11 14:36:53.705692
bot_059,bot_006,follow,2,2025-05-11 14:36:53.705777
bot_019,bot_064,retweet,2,2025-05-10 14:36:53.705862
bot_075,bot_014,retweet,2,2025-05-17 14:36:53.705952
bot_062,bot_050,follow,2,2025-05-10 14:36:53.706037
bot_021,bot_057,retweet,2,2025-05-23 14:36:53.706122
bot_051,bot_041,retweet,1,2025-05-18 14:36:53.706206
bot_059,bot_007,follow,2,2025-05-12 14:36:53.706290
bot_004,bot_067,retweet,1,2025-05-20 14:36:53.706377
bot_046,bot_054,follow,2,2025-05-12 14:36:53.706462
bot_029,bot_018,follow,2,2025-05-21 14:36:53.706548
bot_057,bot_054,retweet,1,2025-05-14 14:36:53.706635
bot_061,bot_022,mention,1,2025-05-12 14:36:53.706719
bot_000,bot_057,retweet,1,2025-05-22 14:36:53.706803
bot_047,bot_000,follow,1,2025-05-19 14:36:53.706889
bot_021,bot_066,retweet,2,2025-05-21 14:36:53.706975
bot_056,bot_028,retweet,2,2025-05-19 14:36:53.707059
bot_046,bot_061,follow,2,2025-05-14 14:36:53.707148
bot_047,bot_038,follow,2,2025-05-10 14:36:53.707233
bot_022,bot_009,retweet,1,2025-05-20 14:36:53.707316
bot_033,bot_051,mention,2,2025-05-14 14:36:53.707404
bot_018,bot_057,follow,2,2025-05-19 14:36:53.707491
bot_003,bot_015,mention,2,2025-05-23 14:36:53.707575
bot_031,bot_023,retweet,1,2025-05-12 14:36:53.707659
bot_060,bot_050,mention,1,2025-05-12 14:36:53.707787
bot_066,bot_064,follow,2,2025-05-14 14:36:53.707873
bot_042,bot_043,follow,1,2025-05-12 14:36:53.707960
bot_045,bot_001,follow,1,2025-05-22 14:36:53.708046
bot_034,bot_007,follow,2,2025-05-14 14:36:53.708142
bot_033,bot_006,retweet,1,2025-05-22 14:36:53.708259
bot_074,bot_028,follow,1,2025-05-11 14:36:53.708350
bot_035,bot_009,follow,1,2025-05-16 14:36:53.708438
bot_063,bot_048,mention,2,2025-05-20 14:36:53.708526
bot_023,bot_022,retweet,2,2025-05-19 14:36:53.708613
bot_011,bot_054,follow,1,2025-05-15 14:36:53.708839
bot_029,bot_016,follow,2,2025-05-20 14:36:53.708979
bot_012,bot_058,mention,1,2025-05-20 14:36:53.709084
bot_011,bot_060,follow,1,2025-05-12 14:36:53.709179
bot_008,bot_070,retweet,1,2025-05-20 14:36:53.709266
bot_015,bot_068,mention,2,2025-05-15 14:36:53.709353
bot_051,bot_052,mention,2,2025-05-15 14:36:53.709440
bot_038,bot_052,retweet,2,2025-05-17 14:36:53.709525
bot_013,bot_004,mention,1,2025-05-11 14:36:53.709613
bot_074,bot_017,mention,2,2025-05-15 14:36:53.709698
bot_073,bot_057,follow,1,2025-05-18 14:36:53.709783
bot_006,bot_045,follow,2,2025-05-14 14:36:53.709869
bot_008,bot_049,mention,2,2025-05-22 14:36:53.709954
bot_004,bot_028,follow,2,2025-05-21 14:36:53.710039
bot_007,bot_064,retweet,2,2025-05-23 14:36:53.710123
bot_070,bot_044,retweet,2,2025-05-21 14:36:53.710208
bot_060,bot_053,mention,1,2025-05-14 14:36:53.710293
bot_018,bot_038,retweet,1,2025-05-11 14:36:53.710381
bot_012,bot_057,follow,1,2025-05-15 14:36:53.710467
bot_038,bot_000,mention,1,2025-05-12 14:36:53.710552
bot_061,bot_062,follow,1,2025-05-16 14:36:53.710638
bot_032,bot_037,follow,2,2025-05-14 14:36:53.710724
bot_043,bot_044,follow,1,2025-05-19 14:36:53.710809
bot_079,bot_074,follow,2,2025-05-21 14:36:53.710896
bot_018,bot_019,follow,2,2025-05-15 14:36:53.710984
bot_048,bot_013,mention,1,2025-05-23 14:36:53.711069
bot_053,bot_002,mention,1,2025-05-13 14:36:53.711154
bot_011,bot_073,retweet,2,2025-05-16 14:36:53.711239
bot_027,bot_007,retweet,2,2025-05-20 14:36:53.711326
bot_007,bot_057,retweet,2,2025-05-12 14:36:53.711410
bot_040,bot_063,mention,2,2025-05-23 14:36:53.711495
bot_072,bot_032,follow,2,2025-05-11 14:36:53.711581
bot_028,bot_012,retweet,1,2025-05-11 14:36:53.711665
bot_005,bot_068,mention,1,2025-05-22 14:36:53.711749
bot_009,bot_055,retweet,2,2025-05-13 14:36:53.711836
bot_004,bot_032,retweet,1,2025-05-22 14:36:53.711919
bot_048,bot_010,follow,2,2025-05-15 14:36:53.712003
bot_058,bot_026,follow,1,2025-05-23 14:36:53.712091
bot_000,bot_020,mention,2,2025-05-12 14:36:53.712174
bot_068,bot_004,retweet,1,2025-05-19 14:36:53.712261
bot_022,bot_052,follow,2,2025-05-14 14:36:53.712361
bot_016,bot_077,follow,2,2025-05-23 14:36:53.712509
bot_050,bot_044,follow,2,2025-05-10 14:36:53.712604
bot_064,bot_031,retweet,2,2025-05-16 14:36:53.712691
bot_038,bot_025,retweet,2,2025-05-18 14:36:53.712779
bot_002,bot_049,follow,2,2025-05-12 14:36:53.712877
bot_004,bot_056,follow,2,2025-05-17 14:36:53.713039
bot_078,bot_013,retweet,1,2025-05-21 14:36:53.713201
bot_037,bot_063,retweet,2,2025-05-22 14:36:53.713326
bot_029,bot_078,mention,1,2025-05-22 14:36:53.713413
bot_051,bot_037,follow,2,2025-05-12 14:36:53.713498
bot_029,bot_050,follow,1,2025-05-11 14:36:53.713584
bot_003,bot_009,follow,2,2025-05-23 14:36:53.713669
bot_068,bot_033,retweet,1,2025-05-22 14:36:53.713754
bot_076,bot_042,mention,1,2025-05-15 14:36:53.713864
bot_022,bot_054,mention,1,2025-05-18 14:36:53.713955
bot_015,bot_007,follow,1,2025-05-21 14:36:53.714040
bot_026,bot_031,retweet,1,2025-05-14 14:36:53.714126
bot_050,bot_018,follow,1,2025-05-22 14:36:53.714210
bot_041,bot_060,retweet,1,2025-05-18 14:36:53.714295
bot_000,bot_004,follow,2,2025-05-14 14:36:53.714381
bot_045,bot_033,follow,2,2025-05-14 14:36:53.714467
bot_044,bot_026,follow,2,2025-05-15 14:36:53.714550
bot_046,bot_055,retweet,1,2025-05-11 14:36:53.714635
bot_025,bot_035,follow,2,2025-05-23 14:36:53.714719
bot_051,bot_078,mention,1,2025-05-16 14:36:53.714828
bot_013,bot_027,mention,2,2025-05-16 14:36:53.714918
bot_001,bot_025,retweet,1,2025-05-16 14:36:53.715004
bot_006,bot_002,mention,1,2025-05-10 14:36:53.715088
bot_017,bot_037,mention,1,2025-05-15 14:36:53.715173
bot_027,bot_073,mention,1,2025-05-23 14:36:53.715259
bot_043,bot_024,follow,1,2025-05-20 14:36:53.715348
bot_024,bot_067,retweet,1,2025-05-15 14:36:53.715434
bot_017,bot_033,mention,2,2025-05-16 14:36:53.715520
bot_041,bot_040,follow,2,2025-05-20 14:36:53.715604
bot_025,bot_063,retweet,1,2025-05-16 14:36:53.715689
bot_058,bot_069,follow,1,2025-05-23 14:36:53.715775
bot_052,bot_021,follow,2,2025-05-18 14:36:53.715859
bot_003,bot_074,retweet,2,2025-05-10 14:36:53.715946
bot_023,bot_054,follow,1,2025-05-21 14:36:53.716031
bot_030,bot_039,follow,2,2025-05-16 14:36:53.716115
bot_005,bot_065,mention,2,2025-05-18 14:36:53.716199
bot_050,bot_061,follow,2,2025-05-13 14:36:53.716286
bot_007,bot_025,mention,1,2025-05-12 14:36:53.716371
bot_004,bot_069,retweet,2,2025-05-20 14:36:53.716460
bot_018,bot_019,follow,2,2025-05-23 14:36:53.716569
bot_013,bot_063,retweet,1,2025-05-10 14:36:53.716656
bot_010,bot_076,mention,1,2025-05-23 14:36:53.716790
bot_005,bot_049,retweet,1,2025-05-17 14:36:53.717073
bot_009,bot_043,retweet,1,2025-05-16 14:36:53.717217
bot_001,bot_064,mention,1,2025-05-15 14:36:53.717362
bot_016,bot_008,mention,1,2025-05-16 14:36:53.717473
bot_037,bot_034,retweet,1,2025-05-23 14:36:53.717573
bot_068,bot_061,retweet,2,2025-05-19 14:36:53.717662
bot_074,bot_008,retweet,2,2025-05-21 14:36:53.717751
bot_034,bot_000,retweet,2,2025-05-11 14:36:53.717835
bot_071,bot_010,follow,1,2025-05-10 14:36:53.717921
bot_059,bot_029,mention,1,2025-05-19 14:36:53.718007
bot_004,bot_077,retweet,2,2025-05-20 14:36:53.718091
bot_041,bot_017,mention,2,2025-05-10 14:36:53.718175
bot_031,bot_050,follow,2,2025-05-23 14:36:53.718272
bot_022,bot_062,mention,1,2025-05-15 14:36:53.718358
bot_016,bot_065,retweet,1,2025-05-16 14:36:53.718443
bot_050,bot_038,mention,2,2025-05-18 14:36:53.718531
bot_066,bot_006,mention,2,2025-05-14 14:36:53.718616
bot_063,bot_014,mention,1,2025-05-23 14:36:53.718702
bot_026,bot_035,follow,2,2025-05-15 14:36:53.718790
bot_026,bot_054,follow,2,2025-05-20 14:36:53.718874
bot_065,bot_009,follow,1,2025-05-14 14:36:53.718958
bot_037,bot_012,mention,1,2025-05-20 14:36:53.719043
bot_051,bot_055,mention,1,2025-05-16 14:36:53.719127
bot_004,bot_028,mention,2,2025-05-12 14:36:53.719214
bot_044,bot_001,mention,1,2025-05-21 14:36:53.719299
bot_025,bot_042,mention,1,2025-05-20 14:36:53.719433
bot_010,bot_073,retweet,2,2025-05-16 14:36:53.719517
bot_022,bot_046,retweet,2,2025-05-13 14:36:53.719600
bot_011,bot_012,retweet,2,2025-05-15 14:36:53.719684
bot_059,bot_042,follow,2,2025-05-19 14:36:53.720116
bot_071,bot_030,retweet,1,2025-05-18 14:36:53.720361
bot_050,bot_028,retweet,2,2025-05-15 14:36:53.720476
bot_010,bot_022,follow,2,2025-05-19 14:36:53.720572
bot_020,bot_035,retweet,1,2025-05-15 14:36:53.720717
bot_000,bot_062,retweet,1,2025-05-21 14:36:53.720962
bot_039,bot_014,follow,1,2025-05-15 14:36:53.721087
bot_052,bot_008,retweet,2,2025-05-15 14:36:53.721184
bot_025,bot_040,mention,1,2025-05-20 14:36:53.721575
bot_024,bot_074,retweet,2,2025-05-17 14:36:53.721676
bot_033,bot_016,mention,1,2025-05-12 14:36:53.721768
bot_050,bot_053,follow,1,2025-05-20 14:36:53.721857
bot_069,bot_032,follow,1,2025-05-13 14:36:53.721943
bot_021,bot_025,retweet,1,2025-05-23 14:36:53.722028
bot_070,bot_048,retweet,2,2025-05-12 14:36:53.722114
bot_062,bot_060,follow,1,2025-05-23 14:36:53.722203
bot_012,bot_050,mention,2,2025-05-21 14:36:53.722288
bot_061,bot_031,retweet,1,2025-05-23 14:36:53.722373
bot_044,bot_029,mention,2,2025-05-23 14:36:53.722465
bot_077,bot_046,retweet,2,2025-05-18 14:36:53.722550
bot_037,bot_050,mention,2,2025-05-23 14:36:53.722635
bot_007,bot_028,mention,1,2025-05-21 14:36:53.722728
bot_031,bot_009,retweet,1,2025-05-10 14:36:53.722816
bot_033,bot_054,retweet,1,2025-05-11 14:36:53.722902
bot_007,bot_064,follow,1,2025-05-21 14:36:53.722987
bot_058,bot_071,retweet,1,2025-05-19 14:36:53.723071
bot_066,bot_050,follow,2,2025-05-16 14:36:53.723157
bot_033,bot_034,retweet,2,2025-05-16 14:36:53.723245
bot_045,bot_015,follow,2,2025-05-19 14:36:53.723329
bot_013,bot_054,retweet,1,2025-05-14 14:36:53.723413
bot_006,bot_032,mention,1,2025-05-21 14:36:53.723498
bot_018,bot_035,follow,2,2025-05-22 14:36:53.723582
bot_001,bot_000,mention,1,2025-05-20 14:36:53.723666
bot_010,bot_001,mention,1,2025-05-17 14:36:53.723754
bot_011,bot_019,follow,1,2025-05-18 14:36:53.723842
bot_008,bot_052,mention,2,2025-05-14 14:36:53.723927
bot_023,bot_073,retweet,2,2025-05-13 14:36:53.724012
bot_013,bot_008,retweet,1,2025-05-15 14:36:53.724096
bot_072,bot_021,mention,2,2025-05-20 14:36:53.724181
bot_025,bot_057,follow,1,2025-05-22 14:36:53.724289
bot_036,bot_074,retweet,2,2025-05-19 14:36:53.724377
bot_041,bot_040,retweet,2,2025-05-23 14:36:53.724463
bot_036,bot_024,retweet,2,2025-05-12 14:36:53.724549
bot_026,bot_056,mention,2,2025-05-13 14:36:53.724673
bot_039,bot_011,follow,1,2025-05-19 14:36:53.724979
bot_070,bot_009,follow,1,2025-05-14 14:36:53.725136
bot_061,bot_045,retweet,2,2025-05-18 14:36:53.725365
bot_064,bot_050,follow,2,2025-05-21 14:36:53.725493
bot_025,bot_028,follow,1,2025-05-16 14:36:53.725622
bot_010,bot_035,follow,1,2025-05-17 14:36:53.725722
bot_053,bot_054,mention,2,2025-05-18 14:36:53.725823
bot_021,bot_068,follow,2,2025-05-20 14:36:53.725913
bot_019,bot_061,mention,1,2025-05-13 14:36:53.725998
bot_072,bot_025,retweet,1,2025-05-15 14:36:53.726084
bot_072,bot_039,follow,1,2025-05-15 14:36:53.726173
bot_060,bot_042,retweet,1,2025-05-17 14:36:53.726260
bot_034,bot_002,retweet,1,2025-05-12 14:36:53.726348
bot_043,bot_050,retweet,2,2025-05-22 14:36:53.726437
bot_011,bot_018,follow,2,2025-05-13 14:36:53.726522
bot_048,bot_060,follow,2,2025-05-15 14:36:53.726608
bot_054,bot_046,retweet,2,2025-05-16 14:36:53.726699
bot_007,bot_020,follow,1,2025-05-19 14:36:53.726785
bot_079,bot_069,follow,2,2025-05-15 14:36:53.726870
bot_011,bot_014,mention,2,2025-05-15 14:36:53.726955
bot_025,bot_046,retweet,2,2025-05-17 14:36:53.727039
bot_016,bot_022,retweet,1,2025-05-18 14:36:53.727126
bot_006,bot_013,mention,1,2025-05-17 14:36:53.727221
bot_008,bot_047,retweet,1,2025-05-17 14:36:53.727306
bot_038,user_0401,follow,1,2025-05-22 14:36:53.727516
bot_016,user_0525,follow,1,2025-05-21 14:36:53.727727
bot_059,user_0812,mention,1,2025-05-21 14:36:53.727931
bot_036,user_0170,mention,1,2025-05-22 14:36:53.728131
bot_054,user_0363,follow,1,2025-05-23 14:36:53.728337
bot_003,user_0348,mention,1,2025-05-23 14:36:53.728550
bot_012,user_0721,follow,1,2025-05-19 14:36:53.728784
bot_041,user_0107,mention,1,2025-05-22 14:36:53.729115
bot_054,user_0738,mention,1,2025-05-22 14:36:53.729465
bot_029,user_0250,follow,1,2025-05-19 14:36:53.729768
bot_012,user_0273,mention,1,2025-05-21 14:36:53.729995
bot_038,user_0813,mention,1,2025-05-19 14:36:53.730210
bot_061,user_0476,mention,1,2025-05-19 14:36:53.730415
bot_056,user_0271,mention,1,2025-05-20 14:36:53.730621
bot_009,user_0358,mention,1,2025-05-19 14:36:53.730827
bot_064,user_0688,follow,1,2025-05-19 14:36:53.731283
bot_013,user_0375,mention,1,2025-05-22 14:36:53.731489
bot_067,user_0145,mention,1,2025-05-19 14:36:53.731698
bot_024,user_0431,follow,1,2025-05-19 14:36:53.731900
bot_078,user_0584,follow,1,2025-05-23 14:36:53.732100
bot_067,user_0139,follow,1,2025-05-22 14:36:53.732305
bot_036,user_0060,follow,1,2025-05-21 14:36:53.732507
bot_069,user_0806,mention,1,2025-05-18 14:36:53.732732
bot_010,user_0061,follow,1,2025-05-22 14:36:53.732949
bot_024,user_0710,mention,1,2025-05-20 14:36:53.733196
bot_058,user_0583,mention,1,2025-05-19 14:36:53.733405
bot_062,user_0309,follow,1,2025-05-21 14:36:53.733658
bot_073,user_0106,mention,1,2025-05-23 14:36:53.733945
bot_040,user_0752,mention,1,2025-05-21 14:36:53.734168
bot_005,user_0516,follow,1,2025-05-18 14:36:53.734376
bot_046,user_0726,follow,1,2025-05-23 14:36:53.734577
bot_019,user_0889,follow,1,2025-05-19 14:36:53.734792
bot_034,user_0689,mention,1,2025-05-18 14:36:53.734996
bot_016,user_0215,follow,1,2025-05-21 14:36:53.735404
bot_012,user_0119,follow,1,2025-05-23 14:36:53.735684
bot_072,user_0579,mention,1,2025-05-19 14:36:53.735905
bot_010,user_0616,mention,1,2025-05-21 14:36:53.736112
bot_028,user_0648,follow,1,2025-05-23 14:36:53.736318
bot_075,user_0169,follow,1,2025-05-23 14:36:53.736522
bot_004,user_0394,follow,1,2025-05-22 14:36:53.736764
bot_078,user_0037,mention,1,2025-05-21 14:36:53.736970
bot_004,user_0175,mention,1,2025-05-22 14:36:53.737172
bot_069,user_0036,mention,1,2025-05-19 14:36:53.737373
bot_027,user_0592,mention,1,2025-05-19 14:36:53.737593
bot_061,user_0348,follow,1,2025-05-22 14:36:53.737810
bot_066,user_0567,mention,1,2025-05-22 14:36:53.738076
bot_039,user_0858,follow,1,2025-05-19 14:36:53.738281
bot_032,user_0261,mention,1,2025-05-21 14:36:53.738482
bot_079,user_0167,mention,1,2025-05-23 14:36:53.738687
bot_058,user_0570,mention,1,2025-05-23 14:36:53.738888
bot_012,user_0362,follow,1,2025-05-23 14:36:53.739086
bot_052,user_0169,mention,1,2025-05-21 14:36:53.739287
bot_037,user_0699,follow,1,2025-05-19 14:36:53.739488
bot_044,user_0825,follow,1,2025-05-21 14:36:53.739691
bot_030,user_0534,mention,1,2025-05-22 14:36:53.739891
bot_031,user_0362,follow,1,2025-05-18 14:36:53.740092
bot_038,user_0081,mention,1,2025-05-22 14:36:53.740295
bot_077,user_0588,follow,1,2025-05-20 14:36:53.740499
bot_038,user_0223,follow,1,2025-05-18 14:36:53.740715
bot_026,user_0112,follow,1,2025-05-23 14:36:53.740917
bot_059,user_0447,mention,1,2025-05-19 14:36:53.741132
bot_034,user_0325,follow,1,2025-05-18 14:36:53.741334
bot_070,user_0585,follow,1,2025-05-22 14:36:53.741536
bot_062,user_0411,mention,1,2025-05-18 14:36:53.741786
bot_036,user_0277,mention,1,2025-05-20 14:36:53.742006
bot_067,user_0730,mention,1,2025-05-23 14:36:53.742219
bot_011,user_0917,follow,1,2025-05-22 14:36:53.742423
bot_064,user_0021,mention,1,2025-05-21 14:36:53.742629
bot_049,user_0269,mention,1,2025-05-19 14:36:53.742830
bot_075,user_0675,follow,1,2025-05-21 14:36:53.743030
bot_051,user_0380,mention,1,2025-05-19 14:36:53.743232
bot_010,user_0032,mention,1,2025-05-21 14:36:53.743431
bot_074,user_0569,follow,1,2025-05-22 14:36:53.743640
bot_045,user_0737,follow,1,2025-05-20 14:36:53.743841
bot_012,user_0488,follow,1,2025-05-19 14:36:53.744046
bot_028,user_0074,mention,1,2025-05-22 14:36:53.744249
